File,Language,Corpus,Code,Age,Sex,Group,Race,SES,Role,Education,Custom_field,Duration_(sec),Total_Utts,MLU_Utts,MLU_Words,MLU_Morphemes,FREQ_types,FREQ_tokens,FREQ_TTR,Words_Min,Verbs_Utt,%_Word_Errors,Utt_Errors,%_Nouns,%_Plurals,%_Verbs,%_Aux,%_3S,%_PAST,%_PASTP,%_PRESP,%_prep,%_adj,%_adv,%_conj,%_det,%_pro,noun_verb,open_closed,#open-class,#closed-class,retracing,repetition
amy.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,80,78,2.744,2.846,75,222,0.338,NA,0.488,0,0,10.811,25,17.568,8.108,79.487,0,0,0,4.955,1.351,13.063,1.351,8.559,20.27,0.615,0.748,95,127,0,0
betty.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,93,93,3.839,3.957,94,357,0.263,NA,0.613,0,0,17.087,6.557,15.126,8.403,38.889,12.963,0,0,8.403,1.961,5.042,1.401,9.804,19.328,1.13,0.676,144,213,1,4
chuck.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,76,76,2.842,2.934,87,216,0.403,NA,0.5,0,0,12.5,3.704,17.13,8.333,72.973,16.216,0,0,7.407,7.407,13.426,0,6.019,13.426,0.73,1.038,110,106,1,3
doug.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,47,46,4.435,4.87,82,207,0.396,NA,0.532,0,0,19.324,40,11.594,12.077,104.167,16.667,0,0,7.246,5.314,4.348,1.449,11.111,16.425,1.667,0.725,87,120,0,0
ed.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,117,117,3.889,4.205,106,455,0.233,NA,0.538,0,0,21.319,35.052,13.187,6.593,50,5,0,0,7.253,6.813,5.934,2.198,12.747,10.11,1.617,0.961,223,232,1,15
frank.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,89,85,3.518,3.659,94,306,0.307,NA,0.562,0,0,17.647,18.519,16.34,3.595,48,2,0,4,10.458,5.556,6.209,1.307,12.418,11.111,1.08,0.913,146,160,1,0
gloria.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,61,61,2.59,2.77,62,163,0.38,NA,0.23,0,0,4.294,28.571,7.975,17.178,146.154,15.385,0,15.385,1.227,0,6.135,0.613,2.454,29.448,0.538,0.235,31,132,0,0
hank.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,137,134,3.299,3.403,123,446,0.276,NA,0.664,0,0,12.556,3.571,19.731,7.399,57.955,5.682,0,6.818,8.744,4.26,7.623,0.673,8.969,17.04,0.636,0.858,206,240,3,0
ivy.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,61,61,2.852,2.934,71,175,0.406,NA,0.721,0,0,14.286,8,25.143,4,31.818,4.545,0,0,9.143,0.571,6.286,0.571,10.857,14.286,0.568,0.862,81,94,0,0
jane.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,62,58,3.207,3.466,74,203,0.365,NA,0.677,0,0,12.808,30.769,20.197,7.882,60.976,7.317,0,4.878,11.33,5.911,6.897,0,8.867,15.764,0.634,0.88,95,108,0,0
jim.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,80,80,4.287,4.55,108,346,0.312,NA,0.625,0,0,16.763,22.414,14.162,7.514,55.102,6.122,4.082,4.082,7.225,11.85,9.538,0.867,11.272,11.85,1.184,1.136,184,162,0,0
kathy.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,84,81,3.358,3.457,82,288,0.285,NA,0.595,0,0,13.889,17.5,17.361,6.597,56,6,2,0,11.458,2.083,9.375,2.431,12.5,14.931,0.8,0.745,123,165,0,0
keith.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,88,88,3.852,3.977,98,340,0.288,NA,0.636,0,0,14.706,8,15.882,9.412,70.37,7.407,1.852,5.556,6.176,4.118,11.176,1.176,12.059,17.353,0.926,0.921,163,177,2,1
kent.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,71,71,3.845,3.915,92,273,0.337,NA,0.746,0,0,18.315,6,16.85,6.96,50,2.174,0,2.174,9.89,8.059,6.227,1.832,10.256,9.89,1.087,1.1,143,130,0,1
linda.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,99,99,4.162,4.293,126,412,0.306,NA,0.717,0,0,15.291,6.349,17.233,6.553,57.746,9.859,0,2.817,8.495,2.913,6.553,1.699,12.136,14.806,0.887,0.776,180,232,0,3
mandy.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,73,73,3.096,3.425,83,227,0.366,NA,0.671,0,0,8.37,26.316,21.145,11.013,37.5,25,8.333,12.5,6.167,4.405,12.335,0.441,3.084,23.789,0.396,0.876,106,121,0,0
nan.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,89,86,3.767,3.919,106,330,0.321,NA,0.843,0,0,15.758,17.308,21.818,4.545,29.167,4.167,0,1.389,6.061,2.424,5.455,1.515,9.091,15.455,0.722,0.941,160,170,0,0
olivia.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,72,71,3.648,3.915,101,260,0.388,NA,0.861,0,0,12.308,37.5,23.846,9.231,25.806,6.452,0,4.839,7.308,1.923,7.308,1.923,4.231,21.923,0.516,0.857,120,140,0,3
paula.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,116,116,4.44,4.724,116,516,0.225,NA,0.534,0,0,17.248,30.337,11.434,9.884,35.593,6.78,0,1.695,9.109,4.457,8.333,1.163,12.597,15.891,1.508,0.737,219,297,1,0
pete.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,60,58,3.276,3.448,74,193,0.383,NA,0.6,0,0,16.58,21.875,18.653,8.29,38.889,5.556,0,2.778,10.363,4.663,5.699,0.518,8.808,15.544,0.889,0.874,90,103,0,0
ruth.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,139,135,2.919,3.207,87,403,0.216,NA,0.41,0,0,20.347,40.244,13.648,11.414,32.727,7.273,0,7.273,5.211,2.233,8.685,0,10.174,13.648,1.491,0.849,185,218,0,2
steve.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,67,67,2.149,2.239,45,144,0.312,NA,0.284,0,0,21.528,9.677,13.194,3.472,52.632,15.789,0,0,6.25,2.083,8.333,0,8.333,13.194,1.632,0.846,66,78,0,0
sue.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,110,108,3.657,3.833,110,402,0.274,NA,0.755,0,0,13.682,25.455,20.647,3.98,49.398,4.819,2.41,1.205,6.965,2.985,6.965,0.995,9.453,17.413,0.663,0.844,184,218,0,0
tom.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,86,83,2.554,2.675,76,216,0.352,NA,0.453,0,0,14.815,9.375,18.056,6.481,33.333,5.128,0,10.256,8.796,3.241,8.333,0,10.185,10.648,0.821,0.815,97,119,0,0
vicki.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,11,11,2.727,2.727,27,30,0.9,NA,0.727,0,0,10,0,26.667,0,12.5,0,0,0,0,0,16.667,0,10,6.667,0.375,1.727,19,11,0,0
wanda.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,109,108,3.593,3.75,110,392,0.281,NA,0.743,0,0,11.224,13.636,20.408,7.398,57.5,11.25,0,3.75,6.888,2.551,10.204,0.51,8.418,21.939,0.55,0.806,175,217,0,0
will.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,94,91,3.088,3.264,74,293,0.253,NA,0.66,0,0,8.874,34.615,21.16,4.778,51.613,9.677,0,1.613,9.215,3.754,13.652,1.024,4.778,17.747,0.419,0.903,139,154,1,0
zeke.cha,eng,Bates,MOT,.,female,.,.,.,Mother,.,.,0,109,106,3.453,3.519,96,376,0.255,NA,0.679,0.255,0,15.426,6.897,19.415,3.989,43.836,1.37,1.37,2.74,10.372,2.66,4.521,0.798,12.234,16.755,0.795,0.816,169,207,1,4